"Producto","Producto_Instancia","Nombre","Nombre_Instancia","Repositorio","Componentes_Relacionados","Topic","Librería","Versionada","Tiene Replica","Flujo_IC","Tipo Componente","Tipo Servicio","Tecnología","País","Ubicación","IP Nodos PRD","Nombre Servidor","IP NAT","Listener ","IP F5 PRD","Puerto","Prioridad Migración","Fecha Modificación","Modificado Por"
"FastTrack","FastTrack_GTM","Gmg.Template.Manager","Gmg.Template.Manager_GTM","GMG-TemplateManager_APP","Aplica para GTM??","","V-REL_APP-TemplateManager_PRD","","","","Backend","Frontend Netcore","","GTM","Vlan2","10.1.0.45/10.1.0.46","GTM01AP012/GTM01AP013","","","10.1.0.44","81","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.FrontEnd.Web","Gmg.Chatcenter.FrontEnd.Web_CRI","GMG-Chatcenter-Frontend_App","Chatcenter_Configuration| Chatcenter","","V-REL_APP-CHATCENTER-FRONTEND-PRD","","","","FrontEnd","","Net6","CRI","Vlan2","10.1.0.84/10.1.0.85/10.1.0.90","REG01WB043/REG01WB044/REG01WB064","",""," 10.1.0.83","443","","12/12/2025",""
"BusDatos","BusDatos","Gmg.Bus.Service.Enrutador","Gmg.Bus.Service.Enrutador_REG","GMG-BusDatos_APP","Gmg.Bus.FrontEnd.Web","Master","","","","","Backend","WCF","netFramework 4.5.1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","82/ 811","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.BusDatos.Enrutador","Gmg.BusDatos.Enrutador_REG","GMG-BusDatosEnrutador_APP","Gmg.Bus.FrontEnd.Web.Blazor| Gmg.Bus.Datos.Facade","Master","","","","","Backend","Rest API","6.0","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","",""," 10.1.1.143","93","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","GMg.Bus.Service.WebHost","GMg.Bus.Service.WebHost_REG","GMG-BusDatos_APP","Gmg.Bus.Service.FacturaElectronica|Gmg.Bus.FrontEnd.Web","Master","","","","","Backend","WCF","netFramework 4.5.1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","82","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.FrontEnd.Web","Gmg.Bus.FrontEnd.Web_REG","GMG-BusDatos_APP","Gmg.Bus.Service.FacturaElectronica|GMg.Bus.Service.WebHost","Master","","","","","FrontEnd","EntityFramework","netFramework 4.5.1","REG","VLan2","10.1.2.221/10.1.10.32","REG01WB013/REG01WB014","","","10.1.1.142","80","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.Service.FacturaElectronica","Gmg.Bus.Service.FacturaElectronica_REG","GMG-BusDatos_APP","GMg.Bus.Service.WebHost|Gmg.Bus.FrontEnd.Web","Master","","","","","Backend","WCF","netFramework 4.5.1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","",""," 10.1.1.143","82","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.Datos.Facade","Gmg.Bus.Datos.Facade_REG","GMG-BusDatos-Facade_APP","Gmg.BusDatos.Enrutador","Master","","","","","Backend","Rest API","6.0","REG","DMZ","172.16.20.58/172.16.20.59","REG01WB062/REG01WB063","N/A",""," 10.1.1.143","7001","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.Bus.FrontEnd.Web.Blazor","Gmg.Bus.FrontEnd.Web.Blazor_REG","GMG-BusDatos-FrontEnd_APP","Gmg.BusDatos.Enrutador","Master","","","","","FrontEnd","Blazor","6.0","REG","VLan2","10.1.2.221/10.1.10.32","REG01WB013/REG01WB014","","","10.1.1.142","8093","","25/2/2026","Jose Pablo Quesada"
"OtrosApp","OtrosApp","Gmg.ValidaContacto.Service","Gmg.ValidaContacto.Service_REG","GMG-ValidaContacto_APP","Gmg.Contactabilidad.Service","master","On Premise V-REL_APP-ValidaContacto-Service_PRD","","","","Backend","Rest Api","Net6","REG","Vlan2","10.1.3.19/10.1.3.20","REG01WS031/REG01WS032","172.16.20.144","","10.1.3.18","8063","","25/2/2026","Jose Pablo Quesada"
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Poliza","Gmg.Corredora.Service.Poliza_CRI","GMG-Corredora-Service_Poliza_CRI_APP","Gmg.Corredora.Admin.Service","master","V-REL_APP-Corredora-Poliza_PRD","","","","Backend","Rest API","Net6","CRI","VLan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3114 / HTTPS 3115","","12/12/2025",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Poliza","Gmg.Corredora.Service.Poliza_SLV","GMG-Corredora-Service_Poliza_SLV_APP","Gmg.Corredora.Admin.Service","master","V-REL_APP-Corredora-Poliza-SLV_PRD","","","","Backend","Rest API","","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3134 / HTTPS 3135","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Tramite","Gmg.Corredora.Service.Tramite_SLV","GMG-Corredora-Tramite-SLV_APP","Gmg.Corredora.Admin.Service","master","V-REL_APP_Corredora-Tramite-SLV_PRD","","","","Backend","Rest API","Net10","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3140 / HTTPS 3141","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Facade.Service","Gmg.Corredora.Facade.Service_SLV","GMG-Corredora-Service_Facade_SLV_APP","Gmg.Corredora.Catalogo.Service |Gmg.Corredora.Poliza.Service|Gmg.Corredora.Pago.Service|Gmg.Corredora.Admin.Service|Gmg.Corredora.Reporteria","master","V-REL_APP_Corredora-Facade-SLV_PRD","","","","Backend","Rest API","Net10","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","HTTPS: 443","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.CorredoraFacade.Service","Gmg.CorredoraFacade.Service_CRI","GMG-Corredora-Service_Facade_CRI_APP","Gmg.Corredora.Catalogo.Service
Gmg.Corredora.Poliza.Service
Gmg.Corredora.Pago.Service
Gmg.Corredora.Admin.Service
Gmg.Corredora.Reporteria","master","V-REL_APP-Corredora-Facade_PRD","","","","Backend","Rest API","Net10","CRI","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","HTTPS: 443","","",""
"Corredora_Seguros ","Corredora_Seguros ","GMG.Corredora.FrontEnd.CRI.APP","GMG.Corredora.FrontEnd.CRI.APP_CRI","GMG-Corredora-FrontEnd_CRI_APP","Gmg.Corredora.Facade.Service
Gmg.Documento.Service","master","","","","","FrontEnd","","Angular","CRI","VLan2","10.1.2.131/10.1.2.132","REG01WB071/REG01WB072","",""," 10.1.2.130","3510 /
3511","","12/12/2025",""
"Corredora_Seguros ","Corredora_Seguros ","GMG.Corredora.FrontEnd.SLV.APP","GMG.Corredora.FrontEnd.SLV.APP_SLV","GMG-Corredora-FrontEnd_SLV_APP","Gmg.Corredora.Facade.Service
Gmg.Documento.Service","master","","","","","FrontEnd","","Angular","SLV","Vlan2","10.1.2.131/10.1.2.132","REG01WB071/REG01WB072","",""," 10.1.2.130","","","",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Admin","Gmg.Corredora.Service.Admin_CRI"," GMG-Corredora-Service_Administracion_CRI_APP","Gmg.Documento.Service","master","V-REL_APP-Corredora-Admin_PRD","","","","Backend","Rest API","Net6","CRI","VLan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3112 / HTTPS 3113","","12/12/2025",""
"Corredora_Seguros ","Corredora_Seguros ","Gmg.Corredora.Service.Admin","Gmg.Corredora.Service.Admin_SLV"," GMG-Corredora-Service_Administracion_SLV_APP","Gmg.Documento.Service","master","V-REL_APP-Corredora-Admin-SLV_PRD","","","","Backend","Rest API","Net6","SLV","Vlan2","10.1.2.134/10.1.2.135","REG01WS051/REG01WS052","",""," 10.1.2.133","3132 / HTTPS 3133","","",""
"Middleware","Middleware","Gmg.Middleware.Originacion.Service","Gmg.Middleware.Originacion.Service_REG","GMG-Middleware-Originacion_APP","Gmg.FastTrack.Microservice
Gmg.FastTrack.Catalogo
Gmg.Persona.Service
Gmg.Liveness.Check
Gmg.Genesys.Core.FastTrack","","V-REL_APP-Middleware-OriginacionService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1025","3","12/12/2025",""
"Middleware","Middleware","Gmg.Middleware.Cotizacion.Service","Gmg.Middleware.Cotizacion.Service_REG","GMG-Middleware-Cotizacion_APP","Gmg.Genesys.Cotizacion","","V-REL_APP-Middleware-CotizacionService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1020","3","12/12/2025",""
"Seguros","Seguros","Gmg.Seguros.NIC.Service.Core_NIC","Gmg.Seguros.NIC.Service.Core_NIC_NIC","GMG-Seguros-NIC_APP","Gmg.Genesys.Operacion.Service","master","V-REL_APP-Seguros-SegurosService_PRD-NIC","","","","Backend","Rest API","Net6","NIC","VLan2","10.1.2.85/10.1.2.86","NIC01WS001/NIC01WS002","","","10.1.2.84","5113","","",""
"Seguros","Seguros","Gmg.Seguros.Service","Gmg.Seguros.Service_SLV","GMG-Seguros-SLV_APP","Gmg.Genesys.Operacion.Service","master","V-REL_APP-Seguros-SegurosService-SLV_PRD","","","","Backend","Rest API","Net6","SLV","Vlan2","","","","","","","","",""
"Seguros","Seguros","Gmg.Seguros.Service.Core","Gmg.Seguros.Service.Core_REG","GMG-Seguros_APP","Gmg.Genesys.Operacion.Service","master","V-REL_APP-Seguros-SegurosService_PRD","","","","Backend","Rest API","NetCore3.1","REG","Vlan2","10.1.10.40/10.1.10.41/10.1.10.42","REG01WS011/REG01WS012/REG01WS013","","","10.1.1.22","8083","","12/12/2025",""
"Seguros","Seguros","Gmg.Seguros.Service.Core","Gmg.Seguros.Service.Core_GTM","GMG-Seguros-GTM_APP","Gmg.Genesys.Operacion.Service","master","","","","","Backend","Rest API","Net10","GTM","VLan2","10.1.2.241/10.1.10.24","GTM01WS001/GTM01WS002","","","10.1.2.240","8083","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.Configuration","Gmg.Chatcenter.Configuration_REG","GMG-Chatcenter-Configuration_App","Gmg.Genesys.Services.Cliente","","V-REL_APP-CHATCENTER-CONFIGURATION-PRD","","","","Backend","Rest API","Net6","REG","Vlan2","10.1.0.71/10.1.0.72","REG01WB019/REG01WB020","","","10.1.0.70","1092","","12/12/2025",""
"Middleware","Middleware","Gmg.Middleware.Cliente.Service","Gmg.Middleware.Cliente.Service_REG","GMG-Middleware-Cliente_APP","Gmg.IdentityProvider.Service (WCF)
Gmg.Genesys.Cliente (WCF)
Gmg.OTP.Serivce
Gmg.Genesys.Cliente.Service","","V-REL_APP-Middleware-ClienteService_PRD","","","","Backend","Rest API","Core 3.1","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1026","2","12/12/2025",""
"MongePay","MongePay","Gmg.MongePay.Recaudo","Gmg.MongePay.Recaudo_CRI","GMG-MongePay-Recaudo_APP","Gmg.Middleware.Cliente.Service| Gmg.Genesys.Services.Cliente","","V-REL_APP-MongePay-Recaudo-PRD","","","","Backend","Rest API","Core 3.1","CRI","VLan2","10.1.2.181/10.1.2.182","REG01WS036/REG01WS037","","","10.1.2.180","8088","","12/12/2025",""
"Middleware","Middleware","Gmg.Middleware.Factura.Service","Gmg.Middleware.Factura.Service_REG","GMG-Middleware-Factura_APP","Gmg.Middleware.Notificacion
Gmg.Rapiweb.OrdenPedido
Gmg.Genesys.Devolucion
Gmg.Genesys.Factura","","V-REL_APP-Middleware-FacturaService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1021","3","12/12/2025",""
"MongePay","MongePay","Gmg.MongePay.Facade","Gmg.MongePay.Facade_CRI","GMG-MongePay-Facade_APP","Gmg.MongePay.Solicitud| Gmg.MongePay.Recaudo| Gmg.Genesys.Services.Cliente| Gmg.Middleware.Cliente.Service","","V-REL_APP-MongePay-Facade-PRD","","","","Backend","Rest API","Core 3.1","CRI","DMZ","172.16.20.62/172.16.20.63","REG01WB036/REG01WB037","N/A","","172.16.20.64","8091/ 443","","12/12/2025",""
"PortalServicios","PortalServicios","Gmg.PortalServicios.FrontEnd.Web","Gmg.PortalServicios.FrontEnd.Web_REG","GMG-PortalServicios-Frontend_APP","Gmg.PortalServicios.Administracion.Service| Gmg.PortalServicios.Guia.Service| Gmg.PortalServicios.Reporteria.Service| Gmg.PortalServicios.Ticket.Service","master","V-REL_APP-PORTALSERVICIOS-FrontEnd-PRD","","","","FrontEnd","Blazor","3,1","REG","Vlan2","10.1.0.171/10.1.0.172","REG01AP048/REG01AP049","",""," 10.1.0.170","80/ 8081","","25/2/2026","Jose Pablo Quesada"
"PortalServicios","PortalServicios","Gmg.PortalServicios.Ticket.Service","Gmg.PortalServicios.Ticket.Service_REG","GMG-PortalServicios-Ticket_APP","Gmg.PortalServicios.Administracion.Service| Gmg.Template.Manager","master","V-REL_APP-PORTALSERVICIOS-Ticket-Service-PRD","","","","Backend","Rest Api","3,1","REG","Vlan2","10.1.0.142/10.1.0.143","REG01AP046/REG01AP047","","","10.1.0.118","82","","25/2/2026","Jose Pablo Quesada"
"Middleware","Middleware","Gmg.Middleware.Inventario.Service","Gmg.Middleware.Inventario.Service_REG","GMG-Middleware-Inventario_APP","Gmg.Rapiweb.Inventario
Gmg.Middleware.Notificacion
Gmg.Rapiweb.Ecommerce
Gmg.Middleware.Catalogo
Picking","","V-REL_APP-Middleware-InventarioService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1019","3","12/12/2025",""
"Middleware","Middleware","Gmg.Middleware.Procesador.Service","Gmg.Middleware.Procesador.Service_REG","GMG-Middleware-Procesador_APP","Gmg.Rapiweb.Inventario
Gmg.Middleware.Notificacion
Gmg.Rapiweb.OrdenPedido
Gmg.Rapiweb.Anticipo","","V-REL_APP-Middleware-ProcesadorService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1022","3","12/12/2025",""
"OtrosApp","OtrosApp","Gmg.Contactabilidad.Service","Gmg.Contactabilidad.Service_REG","GMG-ContactabilidadService_APP","Gmg.ValidaContacto.Service","master","V-REL_APP-Contactabilidad_Service-PRD","","","","Backend","Rest Api","Core 3.1","REG","VLan2","10.1.3.19/10.1.3.20","REG01WB030/REG01WB031","","","10.1.3.18","8062","","25/2/2026","Jose Pablo Quesada"
"PortalServicios","PortalServicios","Gmg.PortalServicios.Administracion.Service","Gmg.PortalServicios.Administracion.Service_REG","GMG-PortalServicios-Administracion_APP","Gmg_GMG-PortalServicios.Administracion_DB","master","V-REL_APP-PORTALSERVICIOS-Administracion-Service-PRD","","","","Backend","Rest Api","3,1","REG","Vlan2","10.1.0.142/10.1.0.143","REG01AP046/REG01AP047","",""," 10.1.0.118","81","","25/2/2026","Jose Pablo Quesada"
"PortalServicios","PortalServicios","Gmg.PortalServicios.Guia.Service","Gmg.PortalServicios.Guia.Service_REG","GMG-PortalServicios-Guia_APP","Gmg_GMG-PortalServicios.Guia_DB","master","V-REL_APP-PORTALSERVICIOS-Guia-Service-PRD","","","","Backend","Rest Api","3,1","REG","Vlan2","10.1.0.142/10.1.0.143","REG01AP046/REG01AP047","","","10.1.0.118","83","","25/2/2026","Jose Pablo Quesada"
"PortalServicios","PortalServicios","Gmg.PortalServicios.Reporteria.Service","Gmg.PortalServicios.Reporteria.Service_REG","GMG-PortalServicios-Reporteria_APP","Gmg_GMG-PortalServicios.Ticket_DB","master","V-REL_APP-PORTALSERVICIOS-Reporteria-Service-PRD","","","","Backend","Rest Api","3,1","REG","Vlan2","10.1.0.142/10.1.0.143","REG01AP046/REG01AP047","","","10.1.0.118","84","","25/2/2026","Jose Pablo Quesada"
"Middleware","Middleware","Gmg.Middleware.Catalogo.Service","Gmg.Middleware.Catalogo.Service_REG","GMG-Middleware-Catalogo_APP","Magento
Flormar
Gmg.Rapiweb.Catalogo.Service","","V-REL_APP-Middleware-CatalogoService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1030","3","12/12/2025",""
"Middleware","Middleware","Gmg.Middleware.Notificacion.Service","Gmg.Middleware.Notificacion.Service_REG","GMG-Middleware-Notificacion_APP","Magento
OMS
Gmg.Rapiweb.Ecommerce
Gmg.Middleware.Inventario
Gmg.Middleware.Configuracion
Gmg.Middleware.Factura","","V-REL_APP-Middleware-NotificacionService_PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1024","3","12/12/2025",""
"Seguros","Seguros","Gmg.Seguros.Operacion.Service","Gmg.Seguros.Operacion.Service_SLV","GMG-SegurosOperacion-SLV_APP","Mapfre
Gmg.Corredora.Catalogo.Service
Gmg.Corredora.Poliza.Service
Gmg.Corredora.Pago.Service
Gmg.Genesys.Operacion.Service","master","V-REL_APP-Seguros-SegurosServiceOperacion-SLV_PRD","","","","Backend","Rest API","Net6","SLV","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A",""," 172.16.20.24","","","",""
"Seguros","Seguros","Gmg.Seguros.Operaciones.Service.Core","Gmg.Seguros.Operaciones.Service.Core_REG","GMG-SegurosOperacion_APP","Mapfre
Gmg.Corredora.Catalogo.Service
Gmg.Corredora.Poliza.Service
Gmg.Corredora.Pago.Service
Gmg.Genesys.Operacion.Service","master","V-REL_APP-Seguros-SegurosOperacionesService_PRD","","","","Backend","Rest API","NetCore3.1","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A",""," 172.16.20.24","8083","","12/12/2025",""
"Seguros","Seguros","Gmg.Seguros.Operacion.Service","Gmg.Seguros.Operacion.Service_GTM","GMG-SegurosOperacion-GTM_APP","Mapfre
Gmg.Genesys.Operacion.Service","master","","","","","Backend","Rest API","Net10","GTM","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A",""," 172.16.20.24","2110","","",""
"Seguros","Seguros","Gmg.Seguros.Operacion_NIC","Gmg.Seguros.Operacion_NIC_NIC","GMG-SegurosOperacion-NIC_APP","Mapfre
Gmg.Genesys.Operacion.Service","master","V-REL_APP-Seguros_Operacion_NIC-PRD","","","","Backend","Rest API","Net6","NIC","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","5110","","12/12/2025",""
"Middleware","Middleware","Gmg.Middleware.Documento.Service","Gmg.Middleware.Documento.Service_REG","GMG-Middleware-Documento_APP","PEL
Gmg.Documento.Service
Gmg.Persona.Service
Gmg.LivenessCheck.Service
Gmg.FastTrack.Catalogo.Service","","V-REL_APP-Middleware-DocumentoService_PRD","","","","Backend","Rest API","Core 3.1","REG","DMZ","172.16.20.25/172.16.20.26","REG01WS028/REG01WS033","N/A","","172.16.20.24","1027","2","12/12/2025",""
"BusDatos","BusDatos","Gmg.BusDatos.Administracion.Service","Gmg.BusDatos.Administracion.Service_REG","GMG-BusDatosAdminitracion_APP","","Master","","","","","Backend","Rest API","3,1","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","92","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.BusDatos.Service.Core.Utils","Gmg.BusDatos.Service.Core.Utils_REG","GMG-BusDatos-Utils_APP","","Master","","","","","Backend","Rest API","6.0","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","89","","25/2/2026","Jose Pablo Quesada"
"BusDatos","BusDatos","Gmg.FE.Service.Core.Factura","Gmg.FE.Service.Core.Factura_SLV","GMG-FacturaElectronica-SLV_APP","","master","V-REL_APP-RW-FECoreFacturaService-SLV-PRD","","","","Backend","Rest API","Net6","SLV","VLan2","10.1.2.94/10.1.2.95","SLV01WS001/SLV01WS002","",""," 10.1.2.93","88","","27/2/2026","Marvin Torres"
"BusDatos","BusDatos","Gmg.CodigosHacienda.Service","Gmg.CodigosHacienda.Service_REG","","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","8090","","12/12/2025",""
"BusDatos","BusDatos","Gmg.FactElectronica.Administracion.Service","Gmg.FactElectronica.Administracion.Service_REG","","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","91","","12/12/2025",""
"BusDatos","BusDatos","Gmg.FacturaElectronica.Service.Core.Sap","Gmg.FacturaElectronica.Service.Core.Sap_REG","","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","88","","12/12/2025",""
"BusDatos","BusDatos","Gmg.FacturaElectronica.Service.Factura","Gmg.FacturaElectronica.Service.Factura_REG","GMG-FacturaElectronica_APP","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","",""," 10.1.1.143","83/ 806","","12/12/2025",""
"BusDatos","BusDatos","Gmg.FE.Service.Core.Factura","Gmg.FE.Service.Core.Factura_REG","GMG-FacturaElectronica_APP","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","8091","","12/12/2025",""
"BusDatos","BusDatos","Gmg.FEGenesys.Service.Api","Gmg.FEGenesys.Service.Api_REG","","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","81","","12/12/2025",""
"BusDatos","BusDatos","Gmg.FEGenesys.Service.FacturaElectronica","Gmg.FEGenesys.Service.FacturaElectronica_REG","","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","","","10.1.1.143","81","","12/12/2025",""
"BusDatos","BusDatos","Gmg.Padron.Service.Cliente","Gmg.Padron.Service.Cliente_REG","GMG-Padron_APP","","","","","","","Backend","WCF","","REG","VLan2","10.1.2.227/10.1.2.228","REG01WS020/REG01WS021","",""," 10.1.1.143","84","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.Middleware","Gmg.Chatcenter.Middleware_REG","GMG-Chatcenter-Middleware_App","","","V-REL_APP-CHATCENTER-MIDDLEWARE-PRD","","","","Backend","Rest API","Net6","REG","DMZ","172.16.20.30/172.16.20.31/172.16.20.60","REG01WB026/REG01WB027/REG01WB035","N/A","","172.16.20.29","1091","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.Multimedia","Gmg.Chatcenter.Multimedia_REG","GMG-Chatcenter-Multimedia_App","","","V-REL_APP-CHATCENTER-Multimedia-PRD","","","","Backend","Rest API","Core 3.1","REG","Vlan2","10.1.0.71/10.1.0.72","REG01WB019/REG01WB020","",""," 10.1.0.70","1095/ 44380","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.RealTimeCommunication","Gmg.Chatcenter.RealTimeCommunication_CRI","GMG-Chatcenter-RTCommunication_App","","","V-REL_APP-CHATCENTER-RTCOMUNICATION-PRD","","","","Backend","Rest API","Net6","CRI","Vlan2","10.1.0.84/10.1.0.85/10.1.0.90","REG01WB043/REG01WB044/REG01WB064","","","10.1.0.84/.20/.90.71","","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.Chatcenter.Service","Gmg.Chatcenter.Service_REG","GMG-Chatcenter-Service_App","","","V-REL_APP-CHATCENTER-SERVICE-PRD","","","","Backend","Rest API","Net6","REG","Vlan2","10.1.0.71/10.1.0.72","REG01WB019/REG01WB020","","","10.1.0.70","1090","","12/12/2025",""
"Chatcenter","Chatcenter","Gmg.ChatCenter.Conversaciones.AI.Service","Gmg.ChatCenter.Conversaciones.AI.Service_REG","GMG-Chatcenter-Conversaciones_AI_App","","","V-REL-APP-ChatCenterConversaciones-EnviarArchivo_PRD","","","","Backend","Worker","Net6","REG","Vlan2","10.1.1.114","REG01WS050","","","10.1.1.114","","","12/12/2025",""
"Cobros","Cobros","Gmg.Administracion.Cobros","Gmg.Administracion.Cobros_REG","GMG_AdministracionCobrosService_APP","","","V-REL_APP-RW-AdministracionCobrosService-PRD","","","","Backend","Rest API","net6.0","REG","VLan2","10.1.10.46/10.1.10.47/10.1.10.48/10.1.10.49","REG01WS018/REG01WS019/REG01WS053/REG01WS054","","","10.1.1.154","8093/ 44312","3","12/12/2025",""
"Cobros","Cobros","Gmg.Administracion.Cobros","Gmg.Administracion.Cobros_GTM","GMG_AdministracionCobrosService_GTM_APP ","","","","","","","Backend","Rest API","","GTM","VLan2","10.1.10.46/10.1.10.47/10.1.10.48/10.1.10.49","REG01WS018/REG01WS019/REG01WS053/REG01WS054","","","10.1.1.154","","","12/12/2025",""
"Cobros","Cobros","Gmg.Gestion.Cobros","Gmg.Gestion.Cobros_REG","GMG-GestionCobrosService_APP","","","V-REL_APP-RW-GestionCobrosService-PRD","","","","Backend","Rest API","net6.0","REG","VLan2","10.1.10.46/10.1.10.47/10.1.10.48/10.1.10.49","REG01WS018/REG01WS019/REG01WS053/REG01WS054","","","10.1.1.154","8094/ 44311","3","12/12/2025",""
"Comisiones","Comisiones","Gmg.Comision.Administracion.Service","Gmg.Comision.Administracion.Service_REG","GMG-Comision-Administracion_APP","","master","V-REL_APP-Comision-Administracion-PRD","","","","Backend","Rest API","Net6","REG","VLan2","10.1.2.113/10.1.2.114","REG01WS029/REG01WS030","","","10.1.2.112","8085","3","27/2/2026","Marvin Torres"
"Comisiones","Comisiones","Gmg.Comision.Catalogo.Service","Gmg.Comision.Catalogo.Service_REG","GMG-Comision-Catalogo_APP","","master","V-REL_APP-Comision-Catalogo-PRD","","","","Backend","Rest API","Net6","REG","VLan2","10.1.2.113/10.1.2.114","REG01WS029/REG01WS030","","","10.1.2.112","8096","3","27/2/2026","Marvin Torres"
"Comisiones","Comisiones","Gmg.Comision.Extractor.Service_CRI","Gmg.Comision.Extractor.Service_CRI_REG","GMG-Comision-Extractor_APP","","master","V-REL_APP-Comision-Extractor-CRI-PRD","","","","Backend","Rest API","Net6","REG","VLan2","10.1.2.113/10.1.2.114","REG01WS029/REG01WS030","","","10.1.2.112","8080","3","27/2/2026","Marvin Torres"
"Comisiones","Comisiones","Gmg.Comision.Extractor.Service_GTM","Gmg.Comision.Extractor.Service_GTM_REG","GMG-Comision-Extractor_APP","","master","V-REL_APP-Comision-Extractor-GTM-PRD","","","","Backend","Rest API","Net6","REG","VLan2","10.1.2.113/10.1.2.114","REG01WS029/REG01WS030","","","10.1.2.112","8081","3","27/2/2026","Marvin Torres"
