Numero;Producto ;ServicioID;InstanciaId;Repositorio;Componentes_Relacionados;Topic;Libreria;Tipo_Componente;Versionada;Tiene_Replica;Flujo_IC;Tipo Servicio;Tecnologia;Pais; ;IP_Nodos_PRD;NombreServidor;IP_NAT;IP_F5_PRD;Puerto;Prioridad_Migracion;FechaModificacion;Modificado Por
649;Por_Definir3;Gmg.Shortner.Service;Gmg.Shortner.Service_;GMG-UrlShortner_Service;;;;Backend;;;;;;;;10.1.3.145|10.1.3.146;REG01WB030|REG01WB031;; 10.1.3.144;8087;;12/12/2025;
132;FastTrack;Gmg.ConsultaServiceBlaze.Service;Gmg.ConsultaServiceBlaze.Service_REG;GMG_ConsultaBlazeReg_App;;;V-REL_APP-CONSULTABLAZE-Service-PRD;Backend;;;;Rest API;Core 3.1;REG;Vlan2;10.1.3.19|10.1.3.20;REG01WB030|REG01WB031;;10.1.3.18;8093;2;12/12/2025;
134;OtrosApp;Gmg.Contactabilidad.Service;Gmg.Contactabilidad.Service_REG;GMG-ContactabilidadService_APP;;;V-REL_APP-Contactabilidad_Service-PRD;Backend;;;;Rest Api;Core 3.1;REG;Vlan2;10.1.3.19|10.1.3.20;REG01WB030|REG01WB031;;10.1.3.18;8062;;12/12/2025;
326;Genesys_;Gmg.Genesys.Services.Operacion;Gmg.Genesys.Services.Operacion_;GMG-Genesys_WEB;;;;Backend;;;;WCF;v4.5.2;;;;;;10.1.3.144;81;;12/12/2025;
245;MongePay;Gmg.FlexiCuotas.Facade_SLV;Gmg.FlexiCuotas.Facade_SLV_SLV;;;;;FrontEnd;;;;;;SLV;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8100;;12/12/2025;
246;MongePay;Gmg.FlexiCuotas.FrontEnd_SLV;Gmg.FlexiCuotas.FrontEnd_SLV_SLV;;;;;FrontEnd;;;;;;SLV;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8099;;12/12/2025;
249;MongePay;Gmg.FlexiPagos.Facade;Gmg.FlexiPagos.Facade_GTM;GMG-FlexiPagos-Facade-GT_APP;;;;Backend;;;;;;GTM;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8104;;12/12/2025;
250;MongePay;Gmg.FlexiPagos.Facade;Gmg.FlexiPagos.Facade_HND;GMG-FlexiPagos-Facade-HND_APP;;;V-REL_APP-FlexiPagos-Facade-HND-PRD;Backend;;;;Rest API;Net6;HND;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8102;;12/12/2025;
251;MongePay;Gmg.FlexiPagos.Facade;Gmg.FlexiPagos.Facade_NIC;;;;;FrontEnd;;;;;;NIC;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8098;;12/12/2025;
252;MongePay;Gmg.FlexiPagos.Frontend;Gmg.FlexiPagos.Frontend_GTM;GMG-FlexiPagos-Frontend-GT_APP;;;;Frontend;;;;;;GTM;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8103;;12/12/2025;
253;MongePay;Gmg.FlexiPagos.Frontend;Gmg.FlexiPagos.Frontend_HND;GMG-FlexiPagos-Frontend-HND_APP;;;V-REL_APP-FlexiPagos-Frontend-HND_PRD;Frontend;;;;PWA;angular v15;HND;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8101;;12/12/2025;
254;MongePay;Gmg.FlexiPagos.Frontend;Gmg.FlexiPagos.Frontend_NIC;;;;;FrontEnd;;;;;;NIC;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8097;;12/12/2025;
262;MongePay;Gmg.GalloPay.Facade;Gmg.GalloPay.Facade_HND;GMG-GalloPay-Facade_APP;;;V-REL_APP-GalloPay-Facade-PRD;Backend;;;;Rest API;Net6;HND;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8096;;12/12/2025;
263;MongePay;Gmg.GalloPay.Facade;Gmg.GalloPay.Facade_NIC;;;;;FrontEnd;;;;;;NIC;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8094;;12/12/2025;
264;MongePay;Gmg.GalloPay.Frontend;Gmg.GalloPay.Frontend_HND;GMG-GalloPay-Frontend_APP;;;;Frontend;;;;PWA;angular v15;HND;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8095;;12/12/2025;
265;MongePay;Gmg.GalloPay.FrontEnd;Gmg.GalloPay.FrontEnd_NIC;GMG-GalloPay-Frontend_APP;;;;FrontEnd;;;;;;NIC;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8093;;12/12/2025;
350;Seguridad_Reg;Gmg.IdentityServer.Service;Gmg.IdentityServer.Service_REG;;;;;Backend/Frontend;;;;Rest Api;Net6;REG;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;44310 login.mongepay.com) | 44311 login.mongepay.com.ni) | 44312 login.gallopay.com.hn) | 44313 (login.flexipagos.com.hn) | 44314 (login.flexicuotas.com) | 44315 (login.asistentefinancieramonge.com)| 44316 (login.flexipagos.com.gt) | 8511 ;;12/12/2025;
382;MongePay;Gmg.MongePay.Facade;Gmg.MongePay.Facade_CRI;GMG-MongePay-Facade_APP;Gmg.MongePay.Solicitud| Gmg.MongePay.Recaudo| Gmg.Genesys.Services.Cliente| Gmg.Middleware.Cliente.Service;;V-REL_APP-MongePay-Facade-PRD;Backend;;;;Rest API;Core 3.1;CRI;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8091| 443;;12/12/2025;
383;MongePay;Gmg.MongePay.Facade;Gmg.MongePay.Facade_NIC;GMG-MongePay-Facade-NIC_APP;;;V-REL_APP-MongePay-Facade-NIC-PRD;Backend;;;;Rest API;Net6;NIC;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8121;;12/12/2025;
384;MongePay;Gmg.MongePay.Frontend;Gmg.MongePay.Frontend_CRI;GMG-MongePay-Frontend_APP;;;;Frontend;;;;PWA;angular v15;CRI;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8090;;12/12/2025;
385;MongePay;Gmg.MongePay.Frontend;Gmg.MongePay.Frontend_NIC;GMG-MongePay-Frontend-NIC_APP;;;;Frontend;;;;PWA;angular v15;NIC;DMZ;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8120;;12/12/2025;
690;Por_Definir3;Gmg.Vista360.FrontEnd;Gmg.Vista360.FrontEnd_REG;;;;;FrontEnd;;;;;;REG;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8092;;12/12/2025;
691;Por_Definir3;Gmg.Vista360.Services;Gmg.Vista360.Services_REG;;;;;FrontEnd;;;;;;REG;;172.16.20.62|172.16.20.63;REG01WB036|REG01WB037;;172.16.20.64;8089;;12/12/2025;
94;Chatcenter;Gmg.Chatcenter.RealTimeCommunication;Gmg.Chatcenter.RealTimeCommunication_;GMG-Chatcenter-RTCommunication_App;;;V-REL_APP-CHATCENTER-RTCOMUNICATION-PRD;Backend;;;;Rest API;Net6;;Vlan2;10.1.0.84|10.1.0.85|10.1.0.90;;;10.1.0.84/.20/.90.71;;;12/12/2025;
433;Rapigarantias;Gmg.Rapigarantias.FrontEnd.Web;Gmg.Rapigarantias.FrontEnd.Web_CRI;GMG-RapiGarantias_APP;;master;;FrontEnd;;;;;netFramework 4.5.1;CRI;Vlan2;10.1.10.21|10.1.10.22|10.1.10.35|10.1.10.36;REG01WB050|REG01WB051|REG01WB052|REG01WB053;;10.1.1.20;80| 443;;12/12/2025;
540;RapiWeb_CRI;Gmg.Sapv.FrontEnd.Web;Gmg.Sapv.FrontEnd.Web_CRI;;;;;FrontEnd;;;;;;CRI;;10.1.10.21|10.1.10.22|10.1.10.35|10.1.10.36;REG01WB050|REG01WB051|REG01WB052|REG01WB053;;10.1.1.20;80| 443;;12/12/2025;
545;RapiWeb_CRI;Gmg.Sapv.FrontEnd.Web.Cotizador;Gmg.Sapv.FrontEnd.Web.Cotizador_CRI;;;;;FrontEnd;;;;;;CRI;;10.1.10.21|10.1.10.22|10.1.10.35|10.1.10.36;REG01WB050|REG01WB051|REG01WB052|REG01WB053;;10.1.1.20;80| 443;;12/12/2025;
33;Inteligencia_Artificial;Gmg.AI.Asistente.FrontEnd.Web;Gmg.AI.Asistente.FrontEnd.Web_;GMG-AI_Asistente_FrontEnd;;;;Backend;;;;;;;;10.1.2.11|10.1.2.12;REG01WB060|REG01WB061;; 10.1.2.10;9193| 7090;;12/12/2025;
34;Inteligencia_Artificial;Gmg.AI.Asistente.FrontEnd.Landing;Gmg.AI.Asistente.FrontEnd.Landing_;;;;;Backend;;;;;;;;10.1.2.11|10.1.2.12;REG01WB060|REG01WB061;;10.1.2.10;9194;;12/12/2025;
37;Inteligencia_Artificial;Gmg.AI.AsistenteSac.Configuracion.Service;Gmg.AI.AsistenteSac.Configuracion.Service_;GMG-AI-AsistenteSac-Configuracion_APP;;;;Backend;;;;;;;;10.1.2.11|10.1.2.12;REG01WB060|REG01WB061;; 10.1.3.5;7097;;5/1/2026;Jose Quirós
40;Inteligencia_Artificial;Gmg.AI.AsistenteSac.Mensaje.Service;Gmg.AI.AsistenteSac.Mensaje.Service_;GMG-AI-AsistenteSac-Mensaje_APP;;;;Backend;;;;;;;;10.1.2.11|10.1.2.12;REG01WB060|REG01WB061;; 10.1.3.5;7095;;5/1/2026;Jose Quirós
42;Inteligencia_Artificial;Gmg.AI.AsistenteVoz.Service;Gmg.AI.AsistenteVoz.Service_;GMG-AI-AsistenteVoz_APP;;;;Backend;;;;;;;;10.1.2.11|10.1.2.12;REG01WB060|REG01WB061;; 10.1.3.5;7094;;5/1/2026;Jose Quirós
;Chatcenter;Gmg.Chatcenter.RealTimeComunication;Gmg.Chatcenter.RealTimeComunication_SLV;;;;;Backend;;;;;;SLV;;10.1.0.121|10.1.0.122;REG01WB067|REG01WB068;; 10.1.0.120;1093;;15/12/2025;Michell Bonilla
88;Chatcenter;Gmg.Chatcenter.FrontEnd.Web;Gmg.Chatcenter.FrontEnd.Web_SLV;GMG-Chatcenter-Frontend_App;;;V-REL_APP-CHATCENTER-FRONTEND-PRD;FrontEnd;;;;;Net6;SLV;Vlan2;10.1.0.121|10.1.0.122;REG01WB067|REG01WB068;; 10.1.0.120;443;;15/12/2025;Michell Bonilla
91;Chatcenter;Gmg.Chatcenter.FrontEnd.Web;Gmg.Chatcenter.FrontEnd.Web_GTM;GMG-Chatcenter-Frontend_App;;;V-REL_APP-CHATCENTER-FRONTEND-PRD;FrontEnd;;;;;Net6;GTM;Vlan2;10.1.0.123|10.1.0.124;REG01WB069|REG01WB070;; 10.1.0.126;443;;12/12/2025;
1;Cobros;AE.Cobros.MVC.Web;AE.Cobros.MVC.Web_REG;GMG-Cobros_APP;;;V-REL_APP-AExternas-FrontEnd_PRD;FrontEnd;;;;FrontEnd;v2.0;REG;DMZ;172.16.20.46|172.16.20.48|172.16.20.49;REG01WB075|REG01WB032|REG01WB033;;172.16.20.47;8091| 443;;12/12/2025;
96;Cobros;GMG.Cobros.MVC.Web;GMG.Cobros.MVC.Web_REG;GMG-Cobros_APP;;;;FrontEnd;;;;;;REG;DMZ;172.16.20.46|172.16.20.48|172.16.20.49;REG01WB075|REG01WB032|REG01WB033;;172.16.20.47;80;;12/12/2025;
105;Comisiones;Gmg.Comision.Facade.Service;Gmg.Comision.Facade.Service_REG;GMG-Comision-Facade_APP;;;V-REL_APP-Comision-Facade-PRD;Backend;;;;Rest API;Net6;REG;DMZ;172.16.20.46|172.16.20.48|172.16.20.49;REG01WB075|REG01WB032|REG01WB033;;172.16.20.47;8079| 8090;3;12/12/2025;
428;OtrosApp;Gmg.Prospectacion.FrontEnd;Gmg.Prospectacion.FrontEnd_REG;GMG-Prospectacion_APP;;;V-REL_APP-PROSPECTACION-FrontEnd-PRD;FrontEnd;;;;;Core 3.1;REG;DMZ;172.16.20.46|172.16.20.48|172.16.20.49;REG01WB075|REG01WB032|REG01WB033;;172.16.20.47;8557;;12/12/2025;
29;Adquirencia;Gmg.Adq.Wcf.TarjetaVirtual;Gmg.Adq.Wcf.TarjetaVirtual_;;;;;Backend;;;;;;;;10.1.1.101;REG01WS001|REG01WS002;;10.1.1.109;80| 808;;12/12/2025;
24;Adquirencia;Gmg.Adq.FrontEnd.Azure;Gmg.Adq.FrontEnd.Azure_;GMG-ADQ_APP;;;;Backend;;;;;;;;10.1.1.101|10.1.1.102;REG01WS001|REG01WS002;;10.1.1.109;80| 443| 808*;;12/12/2025;
27;Adquirencia;Gmg.Adq.Service.Web;Gmg.Adq.Service.Web_;;;;;Backend;;;;;;;;10.1.1.101|10.1.1.102;REG01WS001|REG01WS002;;10.1.1.109;80| 808;;12/12/2025;
28;Adquirencia;Gmg.Adq.Service.WebHost;Gmg.Adq.Service.WebHost_;GMG-ADQ_APP;;;;Backend;;;;;;;;10.1.1.101|10.1.1.102;REG01WS001|REG01WS002;; 10.1.1.109;80| 443| 808;;12/12/2025;
26;Adquirencia;Gmg.Adq.Service;Gmg.Adq.Service_;;;;;Backend;;;;;;;;10.1.1.102|10.1.1.103;REG01WS002|REG01AP004;;10.1.1.109;8090;;12/12/2025;
44;Por_Definir;Gmg.AplicacionPagos.Service;Gmg.AplicacionPagos.Service_;GMG-RapiwebAplicacionPagos-Worker_APP;;;;Backend;;;;;;;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;; 10.1.1.22;2001;;12/12/2025;
476;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Admin;Gmg.RapiWeb.Service.Core.Admin_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1003;;12/12/2025;
515;RapiWeb_CRI;Gmg.Rapiweb.Service.ProcesoAsync;Gmg.Rapiweb.Service.ProcesoAsync_;GMG-RW_APP;;;;Backend;;;;;;;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;; 10.1.1.22;806| 82;;12/12/2025;
606;RapiWeb_CRI;Gmg.Sapv.Service.Recibo;Gmg.Sapv.Service.Recibo_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
614;RapiWeb_CRI;Gmg.Sapv.Service.Tarjeta;Gmg.Sapv.Service.Tarjeta_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
619;RapiWeb_CRI;Gmg.Sapv.Service.Utils;Gmg.Sapv.Service.Utils_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
624;RapiWeb_CRI;Gmg.Sapv.Service.WebHost;Gmg.Sapv.Service.WebHost_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;91| 813;;12/12/2025;
12;Por_Definir;CSMCollector;CSMCollector_;;;;;Backend;;;;;;;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
51;RapiWeb_CRI;Gmg.Backend.Rapiweb.DevolucionSapv;Gmg.Backend.Rapiweb.DevolucionSapv_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
175;Por_Definir;Gmg.Extragarantia.Administracion.Service;Gmg.Extragarantia.Administracion.Service_;GMG-ExtragarantiaAdministracion_APP;;;;Backend;;;;;;;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;; 10.1.1.22;1014;;12/12/2025;
178;Extragarantia;Gmg.Extragarantia.Services.Cotizacion;Gmg.Extragarantia.Services.Cotizacion_CRI;GMG-ExtraGarantia_APP;;master;;Backend;;;;WCF;netFramework 4.5.2;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;86| 811;;12/12/2025;
183;Extragarantia;Gmg.Extragarantia.Services.Devolucion;Gmg.Extragarantia.Services.Devolucion_CRI;GMG-ExtraGarantia_APP;;master;;Backend;;;;WCF;netFramework 4.5.2;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;86| 811;;12/12/2025;
188;Extragarantia;Gmg.Extragarantia.Services.Facturacion;Gmg.Extragarantia.Services.Facturacion_CRI;GMG-ExtraGarantia_APP;;master;;Backend;;;;WCF;netFramework 4.5.2;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;86| 811;;12/12/2025;
430;RapiWeb_CRI;Gmg.RapiBac.Terminal.Service;Gmg.RapiBac.Terminal.Service_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1012;;12/12/2025;
438;Rapigarantias;Gmg.Rapigarantias.Services.Cotizacion;Gmg.Rapigarantias.Services.Cotizacion_CRI;GMG-RapiGarantias_APP;;master;;Backend;;;;WCF;netFramework 4.5.1;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;85| 810;;12/12/2025;
443;Rapigarantias;Gmg.Rapigarantias.Services.Devolucion;Gmg.Rapigarantias.Services.Devolucion_CRI;GMG-RapiGarantias_APP;;master;;Backend;;;;WCF;netFramework 4.5.1;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;85| 810;;12/12/2025;
448;Rapigarantias;Gmg.Rapigarantias.Services.Facturacion;Gmg.Rapigarantias.Services.Facturacion_CRI;GMG-RapiGarantias_APP;;master;;Backend;;;;WCF;netFramework 4.5.1;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;85| 810;;12/12/2025;
453;Rapigarantias;Gmg.Rapigarantias.Services.Utils;Gmg.Rapigarantias.Services.Utils_CRI;GMG-RapiGarantias_APP;;master;;Backend;;;;WCF;netFramework 4.5.1;CRI;Vlan2;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;85| 810;;12/12/2025;
457;RapiWeb_CRI;Gmg.Rapiweb.Bitacora.Service;Gmg.Rapiweb.Bitacora.Service_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1013;;12/12/2025;
470;RapiWeb_CRI;Gmg.Rapiweb.Service.AsyncProcess;Gmg.Rapiweb.Service.AsyncProcess_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
477;RapiWeb_NIC;Gmg.RapiWeb.Service.Core.Admin;Gmg.RapiWeb.Service.Core.Admin_NIC;GMG-RapiWebAdmin_App;;;;Backend;;;;Rest API;Core 6.0;NIC;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1003;;12/12/2025;
479;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Anticipo;Gmg.RapiWeb.Service.Core.Anticipo_CRI;GMG-RapiWebAnticipo_App;;;;Backend;;;;Rest API;Core 3.1;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1004;;12/12/2025;
482;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Catalogo;Gmg.RapiWeb.Service.Core.Catalogo_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1001;;12/12/2025;
485;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Cierre;Gmg.RapiWeb.Service.Core.Cierre_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1017;;12/12/2025;
491;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Configuracion;Gmg.RapiWeb.Service.Core.Configuracion_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;90;;12/12/2025;
495;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Ecommerce;Gmg.RapiWeb.Service.Core.Ecommerce_CRI;GMG-RapiWebEcommerce_App;;;;Backend;;;;Rest API;Core 3.1;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1006;;12/12/2025;
497;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Erp;Gmg.RapiWeb.Service.Core.Erp_CRI;GMG-RapiWebErp_App;;;;Backend;;;;Rest API;Core 3.1;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;89;;12/12/2025;
500;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Factura;Gmg.RapiWeb.Service.Core.Factura_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1009;;12/12/2025;
503;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Inventario;Gmg.RapiWeb.Service.Core.Inventario_CRI;GMG-RapiWebInventario_App;;;;Backend;;;;Rest API;Core 3.1;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1005;;12/12/2025;
507;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.OrdenPedido;Gmg.RapiWeb.Service.Core.OrdenPedido_CRI;GMG-RapiWebOrdenPedido_App;;;;Backend;;;;Rest API;Core 3.1;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1000;;12/12/2025;
508;RapiWeb_NIC;Gmg.RapiWeb.Service.Core.OrdenPedido;Gmg.RapiWeb.Service.Core.OrdenPedido_NIC;GMG-RapiWebOrdenPedido_App;;;;Backend;;;;Rest API;Core 6.0;NIC;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;; 10.1.1.22;1000;;12/12/2025;
509;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Producto;Gmg.RapiWeb.Service.Core.Producto_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1008;;12/12/2025;
512;RapiWeb_CRI;Gmg.RapiWeb.Service.Core.Recibo;Gmg.RapiWeb.Service.Core.Recibo_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1007;;12/12/2025;
513;RapiWeb_CRI;Gmg.Rapiweb.Service.Factura;Gmg.Rapiweb.Service.Factura_;GMG-RapiWebFactura_APP;;;;Backend;;;;;;;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;; 10.1.1.22;1009;;12/12/2025;
516;RapiWeb_CRI;Gmg.Rapiweb.Tarjeta.Service;Gmg.Rapiweb.Tarjeta.Service_CRI;;;;;Backend;;;;Rest API;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1016;;12/12/2025;
517;RapiWeb_CRI;Gmg.Rapiweb.Tarjeta.Service;Gmg.Rapiweb.Tarjeta.Service_CRI;GMG-RapiwebTarjeta-CRI_APP;;;;Backend;;;;Rest API;net10;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;1016;En proceso proyecto migración WCF;12/12/2025;
550;RapiWeb_CRI;Gmg.Sapv.Service.Administracion;Gmg.Sapv.Service.Administracion_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
555;RapiWeb_CRI;Gmg.Sapv.Service.Caja;Gmg.Sapv.Service.Caja_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
561;RapiWeb_CRI;Gmg.Sapv.Service.Comision;Gmg.Sapv.Service.Comision_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
566;RapiWeb_CRI;Gmg.Sapv.Service.Configuracion;Gmg.Sapv.Service.Configuracion_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
571;RapiWeb_CRI;Gmg.Sapv.Service.Cotizacion;Gmg.Sapv.Service.Cotizacion_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
576;RapiWeb_CRI;Gmg.Sapv.Service.Devolucion;Gmg.Sapv.Service.Devolucion_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
581;RapiWeb_CRI;Gmg.Sapv.Service.Erp;Gmg.Sapv.Service.Erp_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
586;RapiWeb_CRI;Gmg.Sapv.Service.Facturacion;Gmg.Sapv.Service.Facturacion_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
591;RapiWeb_CRI;Gmg.Sapv.Service.FacturacionElectronica;Gmg.Sapv.Service.FacturacionElectronica_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
594;RapiWeb_CRI;Gmg.Sapv.Service.ListaPreciosSap;Gmg.Sapv.Service.ListaPreciosSap_CRI;;;;;Backend;;;;WCF ;;CRI;;10.1.10.40|10.1.10.41|10.1.10.42;REG01WS011|REG01WS012|REG01WS013;;10.1.1.22;82| 806;;12/12/2025;
